German	English	Persian	Gender	Plural	Cases	Example
der Beruf	Occupation	شغل	m	die Berufe	Nom, Acc	Er hat einen neuen Beruf gefunden.
die Erfahrung	Experience	تجربه	f	die Erfahrungen	Gen, Dat	Ich habe viel Erfahrung in diesem Bereich.
die Gesellschaft	Society	جامعه	f	die Gesellschaften	Dat	Sie engagiert sich für die Gesellschaft.
der Beitrag	Contribution	مشاركت	m	die Beiträge	Acc	Sie leistet einen wichtigen Beitrag.
die Entwicklung	Development	توسعه	f	die Entwicklungen	Gen, Dat	Die Entwicklung des Landes ist wichtig.
die Aufgabe	Task	تكليف	f	die Aufgaben	Acc	Ich muss diese Aufgabe erledigen.
die Regel	Rule	قانون	f	die Regeln	Acc, Dat	Folge den Regeln!
die Meinung	Opinion	نظر	f	die Meinungen	Nom, Acc	Meiner Meinung nach ist das richtig.
die Möglichkeit	Possibility	امكان	f	die Möglichkeiten	Acc, Dat	Es gibt viele Möglichkeiten.
die Frage	Question	سوال	f	die Fragen	Acc, Dat	Das ist eine gute Frage.
die Antwort	Answer	جواب	f	die Antworten	Acc, Dat	Kannst du mir die Antwort geben?
die Hilfe	Help	كمك	f	die Hilfen	Gen, Dat	Sie braucht dringend Hilfe.
der Fehler	Mistake	اشتباه	m	die Fehler	Acc, Dat	Es war ein großer Fehler.
die Lösung	Solution	راه حل	f	die Lösungen	Nom, Acc	Wir haben eine Lösung gefunden.
die Entscheidung	Decision	تصمیم	f	die Entscheidungen	Nom, Dat	Das war eine schwere Entscheidung.
die Zukunft	Future	آینده	f	die Zukünfte	Gen, Dat	Wir müssen an die Zukunft denken.
die Gesundheit	Health	سلامتي	f	die Gesundheiten	Gen, Dat	Gesundheit ist wichtig.
die Umwelt	Environment	محيط زيست	f	die Umwelten	Gen, Dat	Wir müssen die Umwelt schützen.
die Freiheit	Freedom	آزادي	f	die Freiheiten	Acc, Dat	Freiheit ist ein wichtiges Recht.
die Bildung	Education	آموزش	f	die Bildungen	Gen, Dat	Bildung ist die Basis für Erfolg.
die Kultur	Culture	فرهنگ	f	die Kulturen	Nom, Acc	Kultur macht das Leben bunter.
die Sprache	Language	زبان	f	die Sprachen	Nom, Acc	Sie spricht mehrere Sprachen.
die Tradition	Tradition	سنت	f	die Traditionen	Nom, Dat	Traditionen sind wichtig für die Identität.
der Erfolg	Success	موفقيت	m	die Erfolge	Acc, Dat	Ich wünsche dir viel Erfolg!
die Anstrengung	Effort	تلاش	f	die Anstrengungen	Acc, Dat	Die Anstrengung hat sich gelohnt.
die Verantwortung	Responsibility	مسئولیت	f	die Verantwortungen	Nom, Acc	Sie übernimmt die Verantwortung.
die Beziehung	Relationship	رابطه	f	die Beziehungen	Nom, Acc	Eine gute Beziehung braucht Vertrauen.
die Freundschaft	Friendship	دوستی	f	die Freundschaften	Acc, Dat	Echte Freundschaft ist wertvoll.
die Hoffnung	Hope	امید	f	die Hoffnungen	Acc, Dat	Behalte die Hoffnung!
die Freude	Joy	شادي	f	die Freuden	Acc, Dat	Freude macht das Leben schöner.
die Sorge	Worry	نگرانی	f	die Sorgen	Acc, Dat	Mach dir keine Sorgen!
die Ruhe	Calm	آرامش	f	die Ruhen	Acc, Dat	Ich brauche etwas Ruhe.
der Koffer	Suitcase	چمدان	m	die Koffer	Acc, Dat	Ich packe meinen Koffer.
der Bahnhof	Train station	ايستگاه قطار	m	die Bahnhöfe	Nom, Acc	Wo ist der nächste Bahnhof?
das Flugzeug	Airplane	هواپیما	n	die Flugzeuge	Nom, Acc	Das Flugzeug kommt pünktlich.
der Flughafen	Airport	فرودگاه	m	die Flughäfen	Nom, Acc	Wir fahren zum Flughafen.
das Hotel	Hotel	هتل	n	die Hotels	Nom, Acc	Das Hotel ist sehr komfortabel.
die Postkarte	Postcard	کارت پستال	f	die Postkarten	Acc, Dat	Ich schreibe eine Postkarte.
das Souvenir	Souvenir	سوغات	n	die Souvenirs	Acc, Dat	Ich kaufe ein Souvenir.
die Unterkunft	Accommodation	اقامت	f	die Unterkünfte	Acc, Dat	Wir suchen eine Unterkunft.
die Reservierung	Reservation	رزرو	f	die Reservierungen	Nom, Acc	Ich habe eine Reservierung gemacht.
die Bestätigung	Confirmation	تایید	f	die Bestätigungen	Nom, Acc	Haben Sie die Bestätigung?
die Abfahrt	Departure	حرکت	f	die Abfahrten	Nom, Dat	Wann ist die nächste Abfahrt?
die Ankunft	Arrival	رسیدن	f	die Ankünfte	Nom, Dat	Die Ankunft ist um 15 Uhr.
die Verspätung	Delay	تاخیر	f	die Verspätungen	Nom, Acc	Der Zug hat Verspätung.
der Ausgang	Exit	خروج	m	die Ausgänge	Nom, Acc	Der Ausgang ist hier links.
der Eingang	Entrance	ورود	m	die Eingänge	Nom, Acc	Wo ist der nächste Eingang?
die Toilette	Bathroom	دستشویی	f	die Toiletten	Nom, Acc	Wo ist die Toilette?
