German	English	Persian	Präteritum	Perfekt	Auxiliary	Class	Frame	Example
argumentieren	to argue	استدلال کردن	argumentierte	habe argumentiert	haben	reg.	—	Er argumentiert mit Fakten.
debattieren	to debate	بحث کردن	debattierte	habe debattiert	haben	reg.	—	Sie debattieren über Politik.
diskutieren	to discuss	بحث کردن	diskutierte	habe diskutiert	haben	reg.	—	Wir diskutieren das Thema.
überzeugen	to convince	متقاعد کردن	überzeugte	habe überzeugt	haben	reg.	—	Er hat mich überzeugt.
widerlegen	to refute	رد کردن	widerlegte	habe widerlegt	haben	reg.	—	Sie widerlegte seine Theorie.
bekräftigen	to confirm	تأکید کردن	bekräftigte	habe bekräftigt	haben	reg.	—	Er bekräftigte seine Aussage.
kritisieren	to criticize	انتقاد کردن	kritisierte	habe kritisiert	haben	reg.	—	Sie kritisiert die Regierung.
analysieren	to analyze	تحلیل کردن	analysierte	habe analysiert	haben	reg.	—	Er analysiert die Daten.
behaupten	to claim	ادعا کردن	behauptete	habe behauptet	haben	reg.	—	Sie behauptet, dass...
einwenden	to object	اعتراض کردن	wandte ein	habe eingewandt	haben	reg.	—	Er wandte ein, dass...
zustimmen	to agree	موافقت کردن	stimmte zu	habe zugestimmt	haben	reg.	—	Sie stimmt zu.
ablehnen	to reject	رد کردن	lehnte ab	habe abgelehnt	haben	reg.	—	Er lehnt den Vorschlag ab.
befürworten	to support/approve	حمایت کردن	befürwortete	habe befürwortet	haben	reg.	—	Sie befürwortet die Reform.
einsehen	to realize	درک کردن	sah ein	habe eingesehen	haben	reg.	—	Er sieht seinen Fehler ein.
vermuten	to suspect	گمان کردن	vermutete	habe vermutet	haben	reg.	—	Ich vermute, dass...
reflektieren	to reflect	تأمل کردن	reflektierte	habe reflektiert	haben	reg.	—	Er reflektiert über sein Leben.
abwägen	to weigh up	سبکسنگی کردن	wog ab	habe abgewogen	haben	irr.	—	Sie wog die Vor- und Nachteile ab.
einschätzen	to assess	ارزیابی کردن	schätzte ein	habe eingeschätzt	haben	reg.	—	Er schätzt die Lage ein.
beurteilen	to evaluate	قضاوت کردن	beurteilte	habe beurteilt	haben	reg.	—	Sie beurteilt die Situation.
hinterfragen	to question	زیر سؤال بردن	hinterfragte	habe hinterfragt	haben	reg.	—	Er hinterfragt die Traditionen.
überdenken	to reconsider	بازاندیشی کردن	überdachte	habe überdacht	haben	reg.	—	Sie überdenkt ihre Entscheidung.
nachdenken	to think about	فکر کردن	dachte nach	habe nachgedacht	haben	irr.	—	Er denkt darüber nach.
bedenken	to consider	در نظر گرفتن	bedachte	habe bedacht	haben	irr.	—	Sie bedenkt alle Aspekte.
erwägen	to consider	بررسی کردن	erwog	habe erwogen	haben	reg.	—	Er erwägt die Möglichkeiten.
sich besinnen	to reflect	تأمل کردن	besann sich	habe besonnen	haben	irr.	—	Sie besinnt sich auf die Vergangenheit.
zurückblicken	to look back	نگاه کردن به گذشته	blickte zurück	habe zurückgeblickt	haben	reg.	—	Er blickt auf sein Leben zurück.
vorausdenken	to think ahead	به آینده فکر کردن	dachte voraus	habe vorausgedacht	haben	irr.	—	Sie denkt voraus.
empfinden	to feel/sense	احساس کردن	empfand	habe empfunden	haben	irr.	—	Er empfindet Freude.
fühlen	to feel	احساس کردن	fühlte	habe gefühlt	haben	reg.	—	Sie fühlt sich glücklich.
erleben	to experience	تجربه کردن	erlebte	habe erlebt	haben	reg.	—	Er erlebt eine Krise.
reagieren	to react	واکنش نشان دادن	reagierte	habe reagiert	haben	reg.	—	Sie reagiert schnell.
beeindrucken	to impress	تحت تأثیر قرار دادن	beeindruckte	habe beeindruckt	haben	reg.	—	Er beeindruckt das Publikum.
berühren	to touch/emotional	لمس کردن/تحت تأثیر قرار دادن	berührte	habe berührt	haben	reg.	—	Das Lied berührt mich.
begeistern	to inspire/enthusiast	هیجان زده کردن	begeisterte	habe begeistert	haben	reg.	—	Sie begeistert das Publikum.
sich freuen	to be happy	خوشحال بودن	freute sich	habe mich gefreut	haben	reg.	—	Ich freue mich auf dich.
sich ärgern	to be annoyed	عصبانی شدن	ärgerte sich	habe mich geärgert	haben	reg.	—	Er ärgert sich über den Lärm.
enttäuschen	to disappoint	ناامید کردن	enttäuschte	habe enttäuscht	haben	reg.	—	Sie hat mich enttäuscht.
überraschen	to surprise	شگفت زده کردن	überraschte	habe überrascht	haben	reg.	—	Er hat mich überrascht.
betrüben	to sadden	غمگین کردن	betrübte	habe betrübt	haben	reg.	—	Die Nachricht betrübt mich.
aufregen	to excite/irritate	هیجان زده/عصبانی کردن	regte auf	habe aufgeregt	haben	reg.	—	Das regt mich auf.
beruhigen	to calm down	آرام کردن	beruhigte	habe beruhigt	haben	reg.	—	Er beruhigt das Kind.
sich sorgen	to worry	نگران بودن	sorgte sich	habe mich gesorgt	haben	reg.	—	Sie sorgt sich um ihre Kinder.
forschen	to research	تحقیق کردن	forschte	habe geforscht	haben	reg.	—	Er forscht über das Thema.
analysieren	to analyze	تحلیل کردن	analysierte	habe analysiert	haben	reg.	—	Sie analysiert die Daten.
synthetisieren	to synthesize	ترکیب کردن	synthetisierte	habe synthetisiert	haben	reg.	—	Er synthetisiert die Verbindung.
experimentieren	to experiment	آزمایش کردن	experimentierte	habe experimentiert	haben	reg.	—	Sie experimentiert im Labor.
publizieren	to publish	منتشر کردن	publizierte	habe publiziert	haben	reg.	—	Er publiziert seinen Artikel.
zitieren	to cite	نقل قول کردن	zitierte	habe zitiert	haben	reg.	—	Sie zitiert die Quelle.
messen	to measure	اندازه گرفتن	maß	habe gemessen	haben	irr.	—	Er misst die Temperatur.
beobachten	to observe	مشاهده کردن	beobachtete	habe beobachtet	haben	reg.	—	Sie beobachtet das Experiment.
vergleichen	to compare	مقایسه کردن	verglich	habe verglichen	haben	reg.	—	Er vergleicht die Ergebnisse.
beweisen	to prove	اثبات کردن	bewies	habe bewiesen	haben	irr.	—	Sie beweist ihre These.
widerlegen	to refute	رد کردن	widerlegte	habe widerlegt	haben	reg.	—	Er widerlegt die Hypothese.
schlussfolgern	to conclude	نتیجه گرفتن	schlussfolgerte	habe geschlussfolgert	haben	reg.	—	Sie schlussfolgert aus den Daten.
philosophieren	to philosophize	فلسفه ورزیدن	philosophierte	habe philosophiert	haben	reg.	—	Er philosophiert über das Leben.
moralisieren	to moralize	اخلاق گرایی کردن	moralisierte	habe moralisiert	haben	reg.	—	Sie moralisiert zu viel.
argumentieren	to argue	استدلال کردن	argumentierte	habe argumentiert	haben	reg.	—	Er argumentiert logisch.
deduzieren	to deduce	استنتاج کردن	deduzierte	habe deduziert	haben	reg.	—	Sie deduziert aus den Prämissen.
induzieren	to induce	القا کردن	induzierte	habe induziert	haben	reg.	—	Er induziert aus den Beobachtungen.
spekulieren	to speculate	گمانه زنی کردن	spekulierte	habe spekuliert	haben	reg.	—	Sie spekuliert über die Zukunft.
abstrahieren	to abstract	انتزاعی کردن	abstrahierte	habe abstrahiert	haben	reg.	—	Er abstrahiert von den Details.
definieren	to define	تعریف کردن	definierte	habe definiert	haben	reg.	—	Sie definiert den Begriff.
interpretieren	to interpret	تفسیر کردن	interpretierte	habe interpretiert	haben	reg.	—	Er interpretiert den Text.
problematisieren	to problematize	مسئله ساز کردن	problematisierte	habe problematisiert	haben	reg.	—	Sie problematisiert die Annahme.
