German	English	Persian	Gender	Article	Plural	Cases	Example
Mann	man	مرد	Maskulin	der	die Männer	[Nom] [Akk] [Dat] [Gen]	—
Herr	Mr.	آقا	Maskulin	der	die Herren	[Nom] [Akk] [Dat] [Gen]	—
Mensch	person	انسان	Maskulin	der	die Menschen	[Nom] [Akk] [Dat] [Gen]	—
Junge	boy	پسر	Maskulin	der	die Jungen	[Nom] [Akk] [Dat] [Gen]	—
Lehrer	male teacher	معلم (مرد)	Maskulin	der	die Lehrer	[Nom] [Akk] [Dat] [Gen]	—
Freund	male friend	دوست (مرد)	Maskulin	der	die Freunde	[Nom] [Akk] [Dat] [Gen]	—
Gast	guest	مهمان	Maskulin	der	die Gäste	[Nom] [Akk] [Dat] [Gen]	—
Familienvater	family man	پدر خانواده	Maskulin	der	die Familienväter	[Nom] [Akk] [Dat] [Gen]	—
Partner	male partner	شریک (مرد)	Maskulin	der	die Partner	[Nom] [Akk] [Dat] [Gen]	—
Frau	woman	زن	Feminin	die	die Frauen	[Nom] [Akk] [Dat] [Gen]	—
Lehrerin	female teacher	معلم (زن)	Feminin	die	die Lehrerinnen	[Nom] [Akk] [Dat] [Gen]	—
Freundin	female friend	دوست (زن)	Feminin	die	die Freundinnen	[Nom] [Akk] [Dat] [Gen]	—
Mutter	mother	مادر	Feminin	die	die Mütter	[Nom] [Akk] [Dat] [Gen]	—
Partnerin	female partner	شریک (زن)	Feminin	die	die Partnerinnen	[Nom] [Akk] [Dat] [Gen]	—
Person	person	شخص	Feminin	die	die Personen	[Nom] [Akk] [Dat] [Gen]	—
Kind	child	کودک	Neutral	das	die Kinder	[Nom] [Akk] [Dat] [Gen]	—
Mädchen	girl	دختر	Neutral	das	die Mädchen	[Nom] [Akk] [Dat] [Gen]	—
Baby	baby	نوزاد	Neutral	das	die Babys	[Nom] [Akk] [Dat] [Gen]	—
Menschen	people	مردم	Plural	die	—	[Nom] [Akk] [Dat] [Gen]	—
Leute	people	مردم	Plural	die	—	[Nom] [Akk] [Dat] [Gen]	—
Kinder	children	بچه‌ها	Plural	die	—	[Nom] [Akk] [Dat] [Gen]	—
Vater	father	پدر	Maskulin	der	die Väter	[Nom] [Akk] [Dat] [Gen]	—
Bruder	brother	برادر	Maskulin	der	die Brüder	[Nom] [Akk] [Dat] [Gen]	—
Großvater	grandfather	پدربزرگ	Maskulin	der	die Großväter	[Nom] [Akk] [Dat] [Gen]	—
Sohn	son	پسر	Maskulin	der	die Söhne	[Nom] [Akk] [Dat] [Gen]	—
Onkel	uncle	عمو/دایی	Maskulin	der	die Onkel	[Nom] [Akk] [Dat] [Gen]	—
Mutter	mother	مادر	Feminin	die	die Mütter	[Nom] [Akk] [Dat] [Gen]	—
Schwester	sister	خواهر	Feminin	die	die Schwestern	[Nom] [Akk] [Dat] [Gen]	—
Großmutter	grandmother	مادربزرگ	Feminin	die	die Großmütter	[Nom] [Akk] [Dat] [Gen]	—
Tochter	daughter	دختر	Feminin	die	die Töchter	[Nom] [Akk] [Dat] [Gen]	—
Tante	aunt	عمه/خاله	Feminin	die	die Tanten	[Nom] [Akk] [Dat] [Gen]	—
Familie	family	خانواده	Feminin	die	die Familien	[Nom] [Akk] [Dat] [Gen]	—
Geschwister	sibling	خواهر و برادر	Neutral	das	die Geschwister	[Nom] [Akk] [Dat] [Gen]	—
Eltern	parents	والدین	Plural	die	—	[Nom] [Akk] [Dat] [Gen]	—
Großeltern	grandparents	پدربزرگ و مادربزرگ	Plural	die	—	[Nom] [Akk] [Dat] [Gen]	—
Schlüssel	key	کلید	Maskulin	der	die Schlüssel	[Nom] [Akk] [Dat] [Gen]	—
Buch	book	کتاب	Neutral	das	die Bücher	[Nom] [Akk] [Dat] [Gen]	—
Hund	dog	سگ	Maskulin	der	die Hunde	[Nom] [Akk] [Dat] [Gen]	—
Vogel	bird	پرنده	Maskulin	der	die Vögel	[Nom] [Akk] [Dat] [Gen]	—
Fisch	fish	ماهی	Maskulin	der	die Fische	[Nom] [Akk] [Dat] [Gen]	—
Löwe	lion	شیر	Maskulin	der	die Löwen	[Nom] [Akk] [Dat] [Gen]	—
Elefant	elephant	فیل	Maskulin	der	die Elefanten	[Nom] [Akk] [Dat] [Gen]	—
Katze	cat	گربه	Feminin	die	die Katzen	[Nom] [Akk] [Dat] [Gen]	—
Maus	mouse	موش	Feminin	die	die Mäuse	[Nom] [Akk] [Dat] [Gen]	—
Kuh	cow	گاو	Feminin	die	die Kühe	[Nom] [Akk] [Dat] [Gen]	—
Ente	duck	اردک	Feminin	die	die Enten	[Nom] [Akk] [Dat] [Gen]	—
Biene	bee	زنبور عسل	Feminin	die	die Bienen	[Nom] [Akk] [Dat] [Gen]	—
Tier	animal	حیوان	Neutral	das	die Tiere	[Nom] [Akk] [Dat] [Gen]	—
Haustier	pet	حیوان خانگی	Neutral	das	die Haustiere	[Nom] [Akk] [Dat] [Gen]	—
Pferd	horse	اسب	Neutral	das	die Pferde	[Nom] [Akk] [Dat] [Gen]	—
Schaf	sheep	گوسفند	Neutral	das	die Schafe	[Nom] [Akk] [Dat] [Gen]	—
Huhn	chicken	مرغ	Neutral	das	die Hühner	[Nom] [Akk] [Dat] [Gen]	—
Pony	pony	اسب کوچک	Neutral	das	die Ponys	[Nom] [Akk] [Dat] [Gen]	—
Schwein	pig	خوک	Neutral	das	die Schweine	[Nom] [Akk] [Dat] [Gen]	—
Känguru	kangaroo	کانگورو	Neutral	das	die Kängurus	[Nom] [Akk] [Dat] [Gen]	—
Tag	day	روز	Maskulin	der	die Tage	[Nom] [Akk] [Dat] [Gen]	—
Wochentag	weekday	روز هفته	Maskulin	der	die Wochentage	[Nom] [Akk] [Dat] [Gen]	—
Monat	month	ماه	Maskulin	der	die Monate	[Nom] [Akk] [Dat] [Gen]	—
Zeit	time	زمان	Feminin	die	die Zeiten	[Nom] [Akk] [Dat] [Gen]	—
Sekunde	second	ثانیه	Feminin	die	die Sekunden	[Nom] [Akk] [Dat] [Gen]	—
Minute	minute	دقیقه	Feminin	die	die Minuten	[Nom] [Akk] [Dat] [Gen]	—
Stunde	hour	ساعت	Feminin	die	die Stunden	[Nom] [Akk] [Dat] [Gen]	—
Woche	week	هفته	Feminin	die	die Wochen	[Nom] [Akk] [Dat] [Gen]	—
Pause	break	استراحت	Feminin	die	die Pausen	[Nom] [Akk] [Dat] [Gen]	—
Freizeit	leisure time	اوقات فراغت	Feminin	die	die Freizeiten	[Nom] [Akk] [Dat] [Gen]	—
Jahreszeit	season	فصل	Feminin	die	die Jahreszeiten	[Nom] [Akk] [Dat] [Gen]	—
Jahr	year	سال	Neutral	das	die Jahre	[Nom] [Akk] [Dat] [Gen]	—
Wochenende	weekend	آخر هفته	Neutral	das	die Wochenenden	[Nom] [Akk] [Dat] [Gen]	—
Viertel	quarter	یک چهارم	Neutral	das	die Viertel	[Nom] [Akk] [Dat] [Gen]	—
Datum	date	تاریخ	Neutral	das	die Daten	[Nom] [Akk] [Dat] [Gen]	—
Geburtsdatum	date of birth	تاریخ تولد	Neutral	das	die Geburtsdaten	[Nom] [Akk] [Dat] [Gen]	—
Frühjahr	spring	بهار	Neutral	das	die Frühjahre	[Nom] [Akk] [Dat] [Gen]	—
Morgen	morning	صبح	Maskulin	der	die Morgen	[Nom] [Akk] [Dat] [Gen]	—
Vormittag	late morning	اواسط صبح	Maskulin	der	die Vormittage	[Nom] [Akk] [Dat] [Gen]	—
Mittag	noon	ظهر	Maskulin	der	die Mittage	[Nom] [Akk] [Dat] [Gen]	—
Nachmittag	afternoon	بعد از ظهر	Maskulin	der	die Nachmittage	[Nom] [Akk] [Dat] [Gen]	—
Abend	evening	عصر/شب	Maskulin	der	die Abende	[Nom] [Akk] [Dat] [Gen]	—
Nacht	night	شب	Feminin	die	die Nächte	[Nom] [Akk] [Dat] [Gen]	—
Montag	Monday	دوشنبه	Maskulin	der	die Montage	[Nom] [Akk] [Dat] [Gen]	—
Dienstag	Tuesday	سه‌شنبه	Maskulin	der	die Dienstage	[Nom] [Akk] [Dat] [Gen]	—
Mittwoch	Wednesday	چهارشنبه	Maskulin	der	die Mittwoche	[Nom] [Akk] [Dat] [Gen]	—
Donnerstag	Thursday	پنجشنبه	Maskulin	der	die Donnerstage	[Nom] [Akk] [Dat] [Gen]	—
Freitag	Friday	جمعه	Maskulin	der	die Freitage	[Nom] [Akk] [Dat] [Gen]	—
