Wie bildet man das Konjunktiv II mit "würde" + Infinitiv?	Bildung: Präsensstamm des Verbs + würde + Infinitiv (z.B. Ich würde lernen). Es drückt Wünsche, Höflichkeit oder irrealen Bedingungen aus.
Was sind die speziellen Konjunktiv II-Formen der Modalverben?	Könnte (können), müsste (müssen), dürfte (dürfen), sollte (sollen), wollte (wollen). Diese werden oft statt "würde + Infinitiv" verwendet (z.B. Ich könnte gehen).
Wie lautet das Konjunktiv II von "haben" und "sein"?	Hätte (von haben) und wäre (von sein). (z.B. Ich hätte gern ein Auto; Ich wäre gern reich).
Wann verwendet man If-Sätze vom Typ II (Realer Irrealis)?	Für hypothetische Situationen in der Gegenwart oder Zukunft. Struktur: Wenn + Konjunktiv II, würde + Infinitiv (z.B. Wenn ich Zeit hätte, würde ich reisen).
Wie bildet man If-Sätze vom Typ III (Irrealis der Vergangenheit)?	Für hypothetische Situationen in der Vergangenheit. Struktur: Wenn + Konjunktiv II von haben/sein + Partizip II (z.B. Wenn ich gelernt hätte, hätte ich die Prüfung bestanden).
Wie bildet man das Passiv im Präsens?	werden + Partizip II des Verbs (z.B. Das Buch wird gelesen).
Wie lautet die Bildung des Passivs im Perfekt?	ist + worden + Partizip II des Verbs (z.B. Das Buch ist gelesen worden).
Wie bildet man das Passiv im Futur I?	wird + Partizip II des Verbs + werden (z.B. Das Buch wird gelesen werden).
Was ist der Unterschied zwischen Vorgangspassiv und Zustandspassiv?	Vorgangspassiv betont den Handlungsablauf (werden + Partizip II), Zustandspassiv betont den Ergebniszustand (sein + Partizip II, z.B. Die Tür ist geöffnet).
Wann verwendet man "trotz" und welche Kasus erfordert es?	"trotz" + Genitiv oder Dativ (z.B. Trotz des Regens ging ich spazieren).
Wie bildet man Nominalisierungen von Verben?	Durch Großschreibung des Verbs (z.B. das Arbeiten, der Gang, das Essen).
Wie bildet man Adjektive von Verben mit der Endung "-bar"?	Verbstamm + bar (z.B. machbar, lesbar, waschbar).
Welche Präpositionen erfordern den Genitiv (Beispiele)?	trotz, wegen, während, anstatt, statt, aufgrund, infolge, anhand.
Wie bilde ich einen Relativsatz im Nominativ?	Relativpronomen (der, die, das) + Verb am Ende (z.B. Der Mann, der dort steht, ist mein Vater).
Wie bilde ich einen Relativsatz im Akkusativ?	Relativpronomen (den, die, das) + Verb am Ende (z.B. Das Buch, das ich lese, ist spannend).
Was ist der Unterschied zwischen "obwohl" und "trotzdem"?	"Obwohl" leitet einen Nebensatz ein (z.B. Obwohl es regnet, gehe ich). "Trotzdem" steht am Satzanfang eines Hauptsatzes (z.B. Es regnet. Ich gehe trotzdem).
Erklären Sie die Funktion von "dennoch".	"Dennoch" ist ein adversativer Konnektor, der einen Gegensatz betont (z.B. Es war kalt. Dennoch ging ich schwimmen).
Was drückt der Konnektor "deshalb" aus?	Er drückt eine Folge oder Konsequenz aus (z.B. Er ist krank. Deshalb bleibt er zuhause).
Was drückt der Konnektor "deswegen" aus?	Er drückt eine Folge oder Konsequenz aus, synonym zu "deshalb" (z.B. Es regnete viel. Deswegen war der Flutstand hoch).
Wann verwendet man "außerdem"?	Für die Addition oder Ergänzung von Informationen (z.B. Ich bin müde. Außerdem habe ich Hunger).
Was bedeutet "hingegen" im Text?	Ein adversativer Konnektor für Gegensätze (z.B. Er mag Sport, seine Schwester hingegen liest lieber).
Wie lautet die unpersönliche Konstruktion für "Es gibt"?	Es gibt + Akkusativ (z.B. Es gibt viele Probleme).
Was ist Nominalstil und wann wird er verwendet?	Stil mit vielen Nominalisierungen, typisch für akademische oder formelle Texte (z.B. Die Durchführung der Maßnahmen ist notwendig).
Was ist Verbalstil und warum ist er oft klarer?	Stil mit vielen Verben, der dynamischer und direkter ist (z.B. Wir müssen die Maßnahmen durchführen).
Welche Präpositionen werden mit dem Dativ verwendet (Beispiele)?	aus, bei, mit, nach, seit, von, zu, gegenüber.
Wie lautet das Passiv des Modalverbs "müssen"?	muss + Partizip II + werden (z.B. Das muss gemacht werden).
Wie lautet die Verneinung im Passiv?	nicht + werden + Partizip II (z.B. Das Buch wird nicht gelesen).
Erklären Sie die Verwendung von "anstatt" + Genitiv.	Anstatt des Frühstücks nahm er nur einen Kaffee.
Was ist der Unterschied zwischen "sondern" und "aber"?	"Aber" schränkt ein, "sondern" korrigiert eine vorherige negative Aussage (z.B. Er ist nicht faul, sondern fleißig).
Was bedeutet der Konnektor "folglich"?	Ein kausaler Konnektor für eine logische Schlussfolgerung (z.B. Er hat viel gelernt; folglich hat er die Prüfung bestanden).
Wie bilde ich Adjektivsuffixe wie "-lich" und "-ig" zur Wortbildung?	Verbstamm + lich/ig (z.B. freund-lich, neugier-ig, wöchent-lich). Diese Suffixe bilden Adjektive von Nomen oder Verben.
