German	English	Persian	Präteritum	Perfekt	Auxiliary	Class	Frame	Example
gehen	to go	رفتن	ging	ist gegangen	sein	irr.	—	Ich gehe zur Schule.
essen	to eat	خوردن	aß	hat gegessen	haben	irr.	[Akk]	Ich esse einen Apfel.
trinken	to drink	نوشیدن	trank	hat getrunken	haben	irr.	[Akk]	Ich trinke Wasser.
schlafen	to sleep	خوابیدن	schlief	hat geschlafen	haben	irr.	—	Ich schlafe acht Stunden.
arbeiten	to work	کار کردن	arbeitete	hat gearbeitet	haben	reg.	—	Ich arbeite in einem Büro.
lernen	to learn	یاد گرفتن	lernte	hat gelernt	haben	reg.	[Akk]	Ich lerne Deutsch.
aufstehen	to get up	بلند شدن	stand auf	ist aufgestanden	sein	irr. (sep)	—	Ich stehe um sieben Uhr auf.
anziehen	to put on	پوشیدن	zog an	hat angezogen	haben	irr. (sep)	[Akk]	Ich ziehe einen Mantel an.
ausziehen	to take off	درآوردن	zog aus	hat ausgezogen	haben	irr. (sep)	[Akk]	Ich ziehe meine Schuhe aus.
waschen	to wash	شستن	wusch	hat gewaschen	haben	irr.	[Akk]	Ich wasche meine Hände.
rasieren	to shave	اصلاح کردن	rasierte	hat rasiert	haben	reg.	[Akk]	Ich rasiere mich.
kämmen	to comb	شانه زدن	kämmte	hat gekämmt	haben	reg.	[Akk]	Ich kämme meine Haare.
putzen	to clean	تمیز کردن	putzte	hat geputzt	haben	reg.	[Akk]	Ich putze die Wohnung.
kochen	to cook	پختن	kochte	hat gekocht	haben	reg.	[Akk]	Ich koche Pasta.
backen	to bake	نان پختن	backte	hat gebacken	haben	irr.	[Akk]	Ich backe einen Kuchen.
sagen	to say	گفتن	sagte	hat gesagt	haben	reg.	—	Ich sage „Hallo".
hören	to hear	شنیدن	hörte	hat gehört	haben	reg.	[Akk]	Ich höre Musik.
antworten	to answer	پاسخ دادن	antwortete	hat geantwortet	haben	reg.	[Dat]	Ich antworte auf die Frage.
fragen	to ask	پرسیدن	fragte	hat gefragt	haben	reg.	[Akk]	Ich frage meinen Lehrer.
erzählen	to tell	تعریف کردن	erzählte	hat erzählt	haben	reg.	[Akk] [Dat]	Ich erzähle dir eine Geschichte.
sprechen	to speak	صحبت کردن	sprach	hat gesprochen	haben	irr.	—	Ich spreche Deutsch.
verstehen	to understand	فهمیدن	verstand	hat verstanden	haben	irr.	[Akk]	Ich verstehe dich nicht.
wissen	to know	دانستن	wusste	hat gewusst	haben	irr.	—	Ich weiß es nicht.
glauben	to believe	باور کردن	glaubte	hat geglaubt	haben	reg.	[Akk] [Dat]	Ich glaube dir.
hoffen	to hope	امیدوار بودن	hoffte	hat gehofft	haben	reg.	[Präp: auf+Dat]	Ich hoffe auf besseres Wetter.
erinnern	to remember	به یاد آوردن	erinnerte	hat erinnert	haben	reg.	[Präp: an+Akk]	Ich erinnere mich an dich.
vergessen	to forget	فراموش کردن	vergaß	hat vergessen	haben	irr.	[Akk]	Ich vergesse meinen Schlüssel.
gratulieren	to congratulate	تبریک گفتن	gratulierte	hat gratuliert	haben	reg.	[Dat]	Ich gratuliere dir zum Geburtstag.
wünschen	to wish	آرزو کردن	wünschte	hat gewünscht	haben	reg.	[Akk] [Dat]	Ich wünsche dir alles Gute.
zeigen	to show	نشان دادن	zeigte	hat gezeigt	haben	reg.	[Akk] [Dat]	Ich zeige dir das Foto.
erklären	to explain	توضیح دادن	erklärte	hat erklärt	haben	reg.	[Akk]	Ich erkläre die Grammatik.
vorstellen	to introduce	معرفی کردن	stellte vor	hat vorgestellt	haben	reg. (sep)	[Akk]	Ich stelle mich vor.
kennenlernen	to get to know	شناختن	lernte kennen	hat kennengelernt	haben	reg. (sep)	[Akk]	Ich lerne neue Leute kennen.
lachen	to laugh	خندیدن	lachte	hat gelacht	haben	reg.	—	Ich lache über den Witz.
