German	English	Persian	Präteritum	Perfekt	Auxiliary	Regular	Cases	Example
anfangen	begin	شروع کردن	ich fing an	ich habe angefangen	haben	irregular	Acc, Dat	Wann fängt der Film an?
aufhören	stop	متوقف شدن	ich hörte auf	ich habe aufgehört	haben	irregular	Acc, Dat	Hör auf zu rauchen!
entscheiden	decide	تصمیم گرفتن	ich entschied	ich habe entschieden	haben	irregular	Acc, Dat	Ich kann mich nicht entscheiden.
verstehen	understand	فهمیدن	ich verstand	ich habe verstanden	haben	irregular	Acc, Dat	Ich verstehe das nicht.
erklären	explain	توضیح دادن	ich erklärte	ich habe erklärt	haben	regular	Acc, Dat	Können Sie das erklären?
versuchen	try	تلاش کردن	ich versuchte	ich habe versucht	haben	regular	Acc, Dat	Ich muss es versuchen.
erreichen	reach	رسیدن	ich erreichte	ich habe erreicht	haben	regular	Acc, Dat	Wir haben unser Ziel erreicht.
verbessern	improve	بهبود بخشیدن	ich verbesserte	ich habe verbessert	haben	regular	Acc, Dat	Ich möchte mein Deutsch verbessern.
verändern	change	تغییر دادن	ich veränderte	ich habe verändert	haben	regular	Acc, Dat	Die Welt hat sich verändert.
entdecken	discover	کشف کردن	ich entdeckte	ich habe entdeckt	haben	regular	Acc, Dat	Ich habe ein neues Café entdeckt.
untersuchen	examine	بررسی کردن	ich untersuchte	ich habe untersucht	haben	regular	Acc, Dat	Der Arzt muss mich untersuchen.
vergleichen	compare	مقایسه کردن	ich verglich	ich habe verglichen	haben	irregular	Acc, Dat	Wir müssen die Preise vergleichen.
diskutieren	discuss	بحث کردن	ich diskutierte	ich habe diskutiert	haben	regular	Acc, Dat	Wir müssen darüber diskutieren.
erzählen	tell	تعريف کردن	ich erzählte	ich habe erzählt	haben	regular	Acc, Dat	Sie hat mir eine Geschichte erzählt.
beschreiben	describe	توصیف کردن	ich beschrieb	ich habe beschrieben	haben	irregular	Acc, Dat Können Sie das beschreiben?
empfehlen	recommend	توصیه کردن	ich empfahl	ich habe empfohlen	haben	irregular	Acc, Dat Können Sie etwas empfehlen?
warnen	warn	هشدار دادن	ich warnte	ich habe gewarnt	haben	regular	Acc, Dat	Ich muss dich warnen.
bedeuten	mean	معنی دادن	ich bedeutete	ich habe bedeutet	haben	regular	Acc, Dat	Was bedeutet das Wort?
gehören	belong	تعلق داشتن	ich gehörte	ich habe gehört	haben	regular	Acc, Dat	Das gehört mir.
fehlen	miss	غایب بودن	ich fehlte	ich habe gefehlt	haben	regular	Acc, Dat	Du fehlst mir sehr.
dauern	last	طول کشیدن	ich dauerte	ich habe gedauert	haben	regular	Acc, Dat	Wie lange dauert der Film?
passieren	happen	اتفاق افتادن	ich passierte	ich ist passiert	sein	regular	Nom, Acc	So etwas kann jedem passieren.
folgen	follow	دنبال کردن	ich folgte	ich bin gefolgt	sein	irregular	Acc, Dat	Folgen Sie mir bitte!
stimmen	agree	موافق بودن	ich stimmte	ich habe gestimmt	haben	regular	Acc, Dat	Ich stimme dir zu.
zweifeln	doubt	شک کردن	ich zweifelte	ich habe gezweifelt	haben	regular	Acc, Dat	Ich zweifle daran.
hoffen	hope	امیدوار بودن	ich hoffte	ich habe gehofft	haben	regular	Acc, Dat	Ich hoffe auf das Beste.
sorgen	worry	نگران بودن	ich sorgte	ich habe gesorgt	haben	regular	Acc, Dat	Sorgen Sie sich nicht!
freuen	be happy	خوشحال شدن	ich freute	ich habe gefreut	haben	regular	Acc, Dat	Ich freue mich auf die Reise.
unterstützen	support	حمایت کردن	ich unterstützte	ich habe unterstützt	haben	regular	Acc, Dat	Sie unterstützt mich immer.
brauchen	need	نیاز داشتن	ich brauchte	ich habe gebraucht	haben	regular	Acc, Dat	Ich brauche deine Hilfe.
kosten	cost	هزینه بردن	ich kostete	ich habe gekostet	haben	regular	Acc, Dat	Was kostet das?
schaffen manage	موفق شدن	ich schaffte	ich habe geschafft	haben	regular	Acc, Dat	Ich habe es geschafft!
nutzen	use	استفاده کردن	ich nutzte	ich habe genutzt	haben	regular	Acc, Dat	Ich nutze das jeden Tag.
vermeiden	avoid	اجتناب کردن	ich vermied	ich habe vermieden	haben	irregular	Acc, Dat	Ich muss das vermeiden.
akzeptieren	accept	پذیرفتن	ich akzeptierte	ich habe akzeptiert	haben	regular	Acc, Dat	Ich akzeptiere deine Entscheidung.
respektieren	respect	احترام گذاشتن	ich respektierte	ich habe respektiert	haben	regular	Acc, Dat	Ich respektiere deine Meinung.
vertrauen	trust	اعتماد کردن	ich vertraute	ich habe vertraut	haben	regular	Acc, Dat	Ich vertraue dir.
versprechen	promise	قول دادن	ich versprach	ich habe versprochen	haben	irregular	Acc, Dat	Ich verspreche dir, dass ich komme.
bitten	ask for	درخواست کردن	ich bat	ich habe gebeten	haben	irregular	Acc, Dat	Darf ich Sie um Hilfe bitten?
danken	thank	تشکر کردن	ich dankte	ich habe gedankt	haben	regular	Acc, Dat	Ich danke dir sehr!
grüßen	greet	سلام کردن	ich grüßte	ich habe gegrüßt	haben	regular	Acc, Dat	Sie grüßt mich jeden Tag.
verabschieden	say goodbye	خداحافظی کردن	ich verabschiedete	ich habe verabschiedet	haben	regular	Acc, Dat	Ich muss mich verabschieden.
lächeln	smile	لبخند زدن	ich lächelte	ich habe gelächelt	haben	regular	Acc, Dat	Sie lächelt immer freundlich.
weinen	cry	گریه کردن	ich weinte	ich habe geweint	haben	regular	Acc, Dat	Baby weint laut.
lachen	laugh	خندیدن	ich lachte	ich habe gelacht	haben	regular	Acc, Dat	Wir haben laut gelacht.
schreien	shout	فریاد زدن	ich schrie	ich habe geschrien	haben	irregular	Acc, Dat	Bitte schrei nicht!
