Question	Answer
Artikel Tabelle (Bestimmt)	der/die/das (Nom) → den/die/das (Akk) → dem/der/dem (Dat) → des/der/des (Gen) | Plural: die → die → den(+n) → der
Artikel Tabelle (Unbestimmt)	ein/eine/ein (Nom) → einen/eine/ein (Akk) → einem/einer/einem (Dat) → eines/einer/eines (Gen)
Artikel Tabelle (Kein)	kein/keine/kein (Nom) → keinen/keine/kein (Akk) → keinem/keiner/keinem (Dat) → keines/keiner/keines (Gen)
Akkusativ Regel	Nur der → den ändert sich | Akk = Direktes Objekt (wen? was?) | Ich sehe den Mann.
Dativ Regel	dem/der/dem/den(+n) | Dat = Indirektes Objekt (wem?) | Ich gebe dem Mann das Buch.
Genitiv Regel	des(+s/es)/der/des(+s/es)/der | Gen = Besitz (wessen?) | Das ist das Auto des Mannes.
Personalpronomen (Nom→Akk→Dat)	ich→mich→mir | du→dich→dir | er→ihn→ihm | sie→sie→ihr | es→es→ihm | wir→uns→uns | ihr→euch→euch | sie→sie→ihnen | Sie→Sie→Ihnen
Reflexivpronomen (Akk)	mich, dich, sich, sich, sich, uns, euch, sich, sich
Reflexivpronomen (Dat)	mir, dir, sich, sich, sich, uns, euch, sich, sich
Konjugation Endungen	ich(-e), du(-st), er/sie/es(-t), wir(-en), ihr(-t), sie/Sie(-en)
sein (Präsenz)	ich bin, du bist, er/sie/es ist, wir sind, ihr seid, sie/Sie sind
haben (Präsenz)	ich habe, du hast, er/sie/es hat, wir haben, ihr habt, sie/Sie haben
werden (Präsenz)	ich werde, du wirst, er/sie/es wird, wir werden, ihr werdet, sie/Sie werden
können (Präsenz)	ich kann, du kannst, er/sie/es kann, wir können, ihr könnt, sie/Sie können
müssen (Präsenz)	ich muss, du musst, er/sie/es muss, wir müssen, ihr müsst, sie/Sie müssen
wollen (Präsenz)	ich will, du willst, er/sie/es will, wir wollen, ihr wollt, sie/Sie wollen
sollen (Präsenz)	ich soll, du sollst, er/sie/es soll, wir sollen, ihr sollt, sie/Sie sollen
dürfen (Präsenz)	ich darf, du darfst, er/sie/es darf, wir dürfen, ihr dürft, sie/Sie dürfen
mögen (Präsenz)	ich mag, du magst, er/sie/es mag, wir mögen, ihr mögt, sie/Sie mögen
Perfekt mit haben	Haben + Partizip II | Ich habe gearbeitet. | Er hat gegessen. | Sie hat gelesen.
Perfekt mit sein	Sein + Partizip II (Bewegung/Zustandsänderung) | Ich bin gegangen. | Er ist gefahren.
Partizip II Regular	ge- + Stamm + -t | gemacht, gearbeitet, gekauft, gespielt
Partizip II Irregular	ge- + veränderter Stamm + -en | gegangen, gekommen, gefahren, gegessen
Partizip II Trennbar	präfix + ge + Stamm + -t/-en | angefangen, aufgestanden, eingekauft
Partizip II Untrennbar	kein ge- | besucht, verstanden, vergessen, begonnen
Negation: kein	Kein + Nomen | kein Hund, keine Katze, kein Buch | Er hat keinen Hund.
Negation: nicht	Nicht + Verb/Adjektiv/Satz | Ich komme nicht. | Das ist nicht gut.
W-Fragen	wer(چه کسی), was(چه), wo(کجا), woher(از کجا), wohin(به کجا), wann(کِی), warum(چرا), wie(چطور), wie viel(چقدر), welcher(کدام)
Konnektoren nebengeordnet	und(و), aber(اما), oder(یا), Denn(چون), sondern(بلکه) - Satzstellung bleibt gleich
Konnektoren untergeordnet	weil(زیرا), dass(که), wenn(اگر/وقتی), als(وقتی-گذشته), ob(آیا), obwohl(اگرچه), bevor(قبل از), nachdem(بعد از), bis(تا) - Verb am Ende
Imperativ du	Komm! Geh! Lies! Schreib! Trink! Iss! Warte! Hilf!
Imperativ ihr	Kommt! Geht! Liest! Schreibt! Trinkt! Esst! Wartet! Helft!
Imperativ Sie	Kommen Sie! Gehen Sie! Lesen Sie! Schreiben Sie! Trinken Sie!
Futur I	werden + Infinitiv | Ich werde kommen. | Er wird arbeiten. | Wirst du lernen?
Komparison (regelmäßig)	Klein→kleiner→am kleinsten | Groß→größer→am größten | Schnell→schneller→am schnellsten
Komparison (unregelmäßig)	gut→besser→am besten | viel→mehr→am meisten | gern→lieber→am liebsten | hoch→höher→am höchsten | nah→näher→am nächsten
Zahlen 0-20	null, eins, zwei, drei, vier, fünf, sechs, sieben, acht, neun, zehn, elf, zwölf, dreizehn, vierzehn, fünfzehn, sechzehn, siebzehn, achtzehn, neunzehn, zwanzig
Zahlen 21-99	einundzwanzig, zweiunddreißig, fünfundvierzig (Zahl + und + Zehner)
Wochentage	Montag, Dienstag, Mittwoch, Donnerstag, Freitag, Samstag, Sonntag
Monate	Januar, Februar, März, April, Mai, Juni, Juli, August, September, Oktober, November, Dezember
Uhrzeit	Es ist drei Uhr. | Es ist halb vier. | Es ist Viertel nach drei. | Es ist Viertel vor vier.
Präpositionen Akkusativ	durch(از طریق), für(برای), gegen(علیه), ohne(بدون), um(دور)
Präpositionen Dativ	aus(از), bei(در نزد), mit(با), nach(به), seit(از), von(از), zu(به)
Wechselpräpositionen	an, auf, hinter, in, neben, über, unter, vor, zwischen | Akk=Bewegung(wohin?) | Dat=Ort(wo?)
Adjektivdeklination (nach dem)	-e (Nom/Akk) oder -en (Dat/Gen/Plural) | der große Mann, den großen Mann
Adjektivdeklination (nach ein)	-er (Nom mask), -e (Nom fem), -es (Nom neut), -en (rest) | ein großer Mann, einen großen Mann
Adjektivdeklination (ohne Artikel)	-er (Nom mask), -e (Nom fem), -es (Nom neut), varies (rest) | großer Mann, guten Mann
