Question	Answer
What is Konjunktiv II and how is it formed?	Konjunktiv II is the subjunctive mood used for wishes, hypothetical situations, and polite requests. Formation: regular verbs use würde + Infinitiv, irregular verbs have special forms (hätte, wäre, könnte, dürfte, müsste, sollte, wollte)
Give an example of Konjunktiv II for a wish	Wenn ich reich wäre, würde ich ein Haus kaufen. (If I were rich, I would buy a house.)
How do you form Konjunktiv II with_modal verbs?	müsste (müssen), könnte (können), dürfte (dürfen), sollte (sollen), wollte (wollen), möchte (mögen)
What is the Passiv (passive voice) and how is it formed?	Passiv is formed with werden + Partizip II. Example: Das Buch wird gelesen (The book is being read).
Give examples of Passiv in different tenses	Present: Das Auto wird repariert. Past: Das Auto wurde repariert. Perfect: Das Auto ist repariert worden.
What are Relativsätze (relative clauses)?	Relative clauses describe nouns and use relative pronouns: der, die, das (nom); den, die, das (acc); dem, der, dem (dat); dessen, deren (gen)
Give an example of a Relativsatz	Der Mann, der dort steht, ist mein Vater. (The man who is standing there is my father.)
What are the main types of Nebensätze (subordinate clauses)?	dass-Sätze, weil-Sätze, obwohl-Sätze, wenn-Sätze, als-Sätze, damit-Sätze, ohne...zu, um...zu
How do you form a dass-Satz?	Ich glaube, dass er kommt. (I believe that he is coming.) - The verb goes to the end.
How do you form a weil-Satz?	Ich bleibe, weil es regnet. (I'm staying because it's raining.) - The verb goes to the end.
How do you form an obwohl-Satz?	Obwohl es regnet, gehe ich spazieren. (Although it's raining, I'm going for a walk.)
What are the main prefixes for word formation (Wortbildung)?	ver-, ent-, be-, er-, zer-, miss-, vor-, zurück-, ein-, aus-, mit-, auf-, an-, ab-, um-
Give examples of noun suffixes	-ung (Hilfe → Hilfeleistung), -keit (Frei → Freiheit), -heit (Gesund → Gesundheit), -schaft (Freund → Freundschaft)
What is the difference between Präteritum and Perfekt?	Präteritum is used in written German and formal contexts. Perfekt is used in spoken German and informal contexts.
Give examples of Perfekt with sein vs haben	sein: Ich bin gegangen, gefahren, angekommen. haben: Ich habe gegessen, gemacht, gekauft.
How do you form the Plusquamperfekt?	Plusquamperfekt = hatte/war + Partizip II. Example: Ich hatte schon gegessen, als er kam.
What is the Futur I and how is it formed?	Futur I = werden + Infinitiv. Example: Ich werde morgen anrufen. (I will call tomorrow.)
What is the Futur II and how is it formed?	Futur II = werden + Partizip II + haben/sein. Example: Er wird das Buch gelesen haben.
What is indirekte Rede (reported speech)?	Indirekte Rede reports what someone else said. It uses Konjunktiv I or dass + indicative.
Give examples of indirekte Rede with Konjunktiv I	Er sagt, er sei krank. Sie meinte, sie hätte keine Zeit. Er fragte, ob ich komme.
What are Konnektoren (connectors) and their word order?	Coordinating (und, oder, aber, denn, sondern) keep normal word order. Subordinating (dass, weil, obwohl, etc.) put verb at end.
What is the difference between obwohl and trotzdem?	Obwohl introduces a subordinate clause (verb at end): Obwohl es regnet, gehe ich. Trotzdem is an adverb: Es regnet, trotzdem gehe ich.
How do you form um...zu and ohne...zu?	um...zu (in order to): Ich lerne, um besser zu werden. ohne...zu (without): Er ging, ohne zu bezahlen.
What are reflexive verbs and how are they used?	Reflexive verbs use sich: sich freuen (to be happy), sich ärgern (to be annoyed), sich erinnern (to remember)
Give examples of important reflexive verbs at B1	sich freuen auf (+ Akk.) - to look forward to, sich erinnern an (+ Akk.) - to remember, sich interessieren für (+ Akk.) - to be interested in
What are the main prepositions that take the dative?	aus, bei, mit, nach, seit, von, zu, gegenüber
What are the main prepositions that take the accusative?	durch, für, gegen, ohne, um, bis, entlang
What are two-way prepositions (Wechselpräpositionen)?	an, auf, hinter, in, neben, über, unter, vor, zwischen - they take Akk. for movement/direction, Dat. for location
Give examples of Wechselpräpostionen	Ich gehe in die Küche (Akk. - direction). Ich bin in der Küche (Dat. - location)
What is the difference between seit and für?	seit + Dat. = since/for (ongoing): Seit zwei Jahren lerne ich Deutsch. für + Akk. = for (duration): Ich lerne seit zwei Jahren.
How do you form the comparative and superlative?	comparative: adjektiv + er (schneller). superlative: am + adjektiv +sten (am schnellsten). Irregular: gut → besser → am besten
What are important irregular adjectives?	gut → besser → am besten, viel → mehr → am meisten, gern → lieber → am liebsten, hoch → höher → am höchsten
What is the difference between kennen and wissen?	kennen = to know (person/place): Ich kenne Berlin. wissen = to know (fact): Ich weiß es nicht.
How do you use_modal verbs at B1 level?	müssen (must), können (can), dürfen (may), wollen (want), sollen (should), mögen (like) - all take infinitiv at end
What are important B1 idioms and expressions?	Es kommt darauf an (It depends), Das macht nichts (That's okay), Ich habe Hunger/Durst (I'm hungry/thirsty), Es geht mir gut (I'm fine)
