Question	Answer
How do you introduce yourself formally?	Guten Tag, mein Name ist [Name]. Ich freue mich, Sie kennenzulernen. (Hello, my name is [Name]. Nice to meet you.)
How do you introduce yourself informally?	Hallo, ich bin [Name]. Freut mich! (Hi, I'm [Name]. Nice to meet you!)
How do you ask someone's name politely?	Darf ich Sie nach Ihrem Namen fragen? (May I ask your name?)
How do you ask about someone's well-being? Wie geht es Ihnen? (How are you?) / Wie geht's? (informal)
How do you respond to "Wie geht es Ihnen?"	Es geht mir gut, danke. Und Ihnen? (I'm fine, thank you. And you?)
How do you ask where someone is from?	Woher kommen Sie? (Where are you from?) / Woher kommst du? (informal)
How do you say where you're from?	Ich komme aus [Land]. (I come from [country].)
How do you ask about someone's profession?	Was sind Sie von Beruf? (What do you do for a living?)
How do you state your profession?	Ich bin [Beruf]. (I am a [profession].)
How do you ask about the time?	Wie spät ist es? (What time is it?) / Wie viel Uhr ist es?
How do you ask for directions?	Entschuldigung, wie komme ich zum Bahnhof? (Excuse me, how do I get to the train station?)
How do you ask for a recommendation?	Können Sie mir ein gutes Restaurant empfehlen? (Can you recommend a good restaurant?)
How do you make a polite request	Könnten Sie mir bitte helfen? (Could you please help me?)
How do you say you don't understand	Ich habe das nicht verstanden. (I didn't understand that.) / Können Sie das bitte wiederholen?
How do you ask someone to repeat	Bitte? / Können Sie das bitte wiederholen? (Please? / Could you repeat that?)
How do you ask for clarification	Können Sie das bitte erklären? (Can you explain that?)
How do you agree with someone	Da haben Sie recht. (You're right.) / Stimmt. (Exactly.) / Ich stimme zu. (I agree.)
How do you disagree politely	Ich bin anderer Meinung. (I have a different opinion.) / Das sehe ich anders. (I see it differently.)
How do you express an opinion	Ich finde, dass... (I think that...) / Meiner Meinung nach... (In my opinion...)
How do you say you like something	Ich mag das sehr. (I like that very much.) / Das gefällt mir gut. (I like that.)
How do you say you don't like something	Das gefällt mir nicht. (I don't like that.) / Ich mag das nicht. (I don't like that.)
How do you express a wish	Ich wünsche mir... (I wish for...) / Ich hätte gern... (I would like...)
How do you make an appointment	Wann können wir uns treffen? (When can we meet?) / Haben Sie Zeit am Montag? (Do you have time on Monday?)
How do you cancel an appointment	Ich muss leider absagen. (I have to cancel unfortunately.) / Können wir einen anderen Termin vereinbaren?
How do you apologize	Es tut mir leid. (I'm sorry.) / Entschuldigen Sie bitte. (Excuse me, please.)
How do you accept an apology	Das ist nicht schlimm. (That's okay.) / Kein Problem. (No problem.)
How do you thank someone	Vielen Dank! / Danke schön! / Herzlichen Dank! (Thank you very much!)
How do you respond to thanks	Gern geschehen. / Bitte. / Nichts zu danken. (You're welcome.)
How do you ask for permission	Darf ich...? (May I...?) / Kann ich...? (Can I...?)
How do you give permission	Natürlich. / Selbstverständlich. / Ja, gerne. (Of course. / Certainly. / Yes, with pleasure.)
How do you refuse politely	Ich habe leider keine Zeit. (I don't have time unfortunately.) / Das geht leider nicht. (That's not possible, unfortunately.)
How do you express necessity	Ich muss... (I have to...) / Ich muss unbedingt... (I absolutely have to...)
How do you express possibility	Ich könnte... (I could...) / Es ist möglich, dass... (It's possible that...)
How do you ask about availability	Haben Sie noch frei? (Do you still have room?) / Ist noch etwas frei?
How do you book something	Ich möchte ein Zimmer reservieren. (I would like to reserve a room.)
How do you order in a restaurant	Ich hätte gern... (I would like...) / Ich nehme... (I'll take...)
How do you ask for the bill	Können ich bitte die Rechnung haben? (Can I have the bill, please?)
How do you express a problem	Ich habe ein Problem. (I have a problem.) / Mir geht es nicht gut. (I'm not feeling well.)
How do you ask for help	Können Sie mir helfen? (Can you help me?) / Ich brauche Hilfe. (I need help.)
How do you say goodbye formally	Auf Wiedersehen. / Bis bald. (Goodbye. / See you soon.)
How do you say goodbye informally	Tschüss! / Bis später! / Mach's gut! (Bye! / See you later! / Take care!)
How do you express surprise	Wirklich? / Ernsthaft? / Das ist ja toll! (Really? / Seriously? / That's great!)
How do you express disappointment	Ach schade. / Das ist schade. / Wie schade. (That's too bad.)
How do you encourage someone	Schaffst du das! / Gib auf! / Du kannst das! (You can do it! / Don't give up! / You can do it!)
How do you give a compliment	Sie sehen gut aus. (You look good.) / Das ist eine schöne Idee. (That's a nice idea.)
How do you ask for an opinion	Was halten Sie davon? (What do you think about it?) / Was meinst du? (What do you think?)
How do you describe a feeling	Ich freue mich. (I'm happy.) / Ich bin traurig. (I'm sad.) / Ich bin nervös. (I'm nervous.)
