German	English	Persian	Gender	Article	Plural	Cases	Example
Hypothese	hypothesis	فرضیه	Feminin	die	die Hypothesen	Nom/Acc/Dat/Gen	—
Theorie	theory	نظریه	Feminin	die	die Theorien	Nom/Acc/Dat/Gen	—
Forschung	research	تحقیق	Feminin	die	die Forschungen	Nom/Acc/Dat/Gen	—
Experiment	experiment	آزمایش	Neutral	das	die Experimente	Nom/Acc/Dat/Gen	—
Analyse	analysis	تحلیل	Feminin	die	die Analysen	Nom/Acc/Dat/Gen	—
Synthese	synthesis	ترکیب	Feminin	die	die Synthesen	Nom/Acc/Dat/Gen	—
Erkenntnis	insight/knowledge	شناخت	Feminin	die	die Erkenntnisse	Nom/Acc/Dat/Gen	—
Wissenschaft	science	علم	Feminin	die	die Wissenschaften	Nom/Acc/Dat/Gen	—
Naturwissenschaft	natural science	علوم طبیعی	Feminin	die	die Naturwissenschaften	Nom/Acc/Dat/Gen	—
Sozialwissenschaft	social science	علوم اجتماعی	Feminin	die	die Sozialwissenschaften	Nom/Acc/Dat/Gen	—
Geisteswissenschaft	humanities	علوم انسانی	Feminin	die	die Geisteswissenschaften	Nom/Acc/Dat/Gen	—
Methode	method	روش	Feminin	die	die Methoden	Nom/Acc/Dat/Gen	—
Ergebnis	result	نتیجه	Neutral	das	die Ergebnisse	Nom/Acc/Dat/Gen	—
Daten	data	داده	Feminin	die	die Daten	Nom/Acc/Dat/Gen	—
These	thesis	پایان‌نامه/thesis	Feminin	die	die Thesen	Nom/Acc/Dat/Gen	—
Antithese	antithesis	ضدهویت	Feminin	die	die Antithesen	Nom/Acc/Dat/Gen	—
Quantenphysik	quantum physics	فیزیک کوانتومی	Feminin	die	die Quantenphysik	Nom/Acc/Dat/Gen	—
Evolutionslehre	theory of evolution	نظریه تکامل	Feminin	die	die Evolutionslehren	Nom/Acc/Dat/Gen	—
Genetik	genetics	ژنتیک	Feminin	die	die Genetik	Nom/Acc/Dat/Gen	—
Biologie	biology	زیست‌شناسی	Feminin	die	die Biologie	Nom/Acc/Dat/Gen	—
Chemie	chemistry	شیمی	Feminin	die	die Chemie	Nom/Acc/Dat/Gen	—
Physik	physics	فیزیک	Feminin	die	die Physik	Nom/Acc/Dat/Gen	—
Astronomie	astronomy	نجوم	Feminin	die	die Astronomie	Nom/Acc/Dat/Gen	—
Geologie	geology	زمین‌شناسی	Feminin	die	die Geologie	Nom/Acc/Dat/Gen	—
Meteorologie	meteorology	هواشناسی	Feminin	die	die Meteorologie	Nom/Acc/Dat/Gen	—
Prüfung	test/exam	آزمون	Feminin	die	die Prüfungen	Nom/Acc/Dat/Gen	—
Studie	study	مطالعه	Feminin	die	die Studien	Nom/Acc/Dat/Gen	—
Philosophie	philosophy	فلسفه	Feminin	die	die Philosophien	Nom/Acc/Dat/Gen	—
Ethik	ethics	اخلاق	Feminin	die	die Ethik	Nom/Acc/Dat/Gen	—
Moral	morality	اخلاقیات	Feminin	die	die Moralen	Nom/Acc/Dat/Gen	—
Logik	logic	منطق	Feminin	die	die Logik	Nom/Acc/Dat/Gen	—
Metaphysik	metaphysics	متافیزیک	Feminin	die	die Metaphysik	Nom/Acc/Dat/Gen	—
Epistemologie	epistemology	معرفت‌شناسی	Feminin	die	die Epistemologien	Nom/Acc/Dat/Gen	—
Existentialismus	existentialism	اگزیستانسیالیسم	Maskulin	der	die Existentialismen	Nom/Acc/Dat/Gen	—
Utilitarismus	utilitarianism	فایده‌گرایی	Maskulin	der	die Utilitarismen	Nom/Acc/Dat/Gen	—
Idealismus	idealism	ایده‌آلیسم	Maskulin	der	die Idealismen	Nom/Acc/Dat/Gen	—
Realismus	realism	واقع‌گرایی	Maskulin	der	die Realismen	Nom/Acc/Dat/Gen	—
Nihilismus	nihilism	پوچ‌گرایی	Maskulin	der	die Nihilismen	Nom/Acc/Dat/Gen	—
Stoizismus	stoicism	رواقی‌گری	Maskulin	der	die Stoizismen	Nom/Acc/Dat/Gen	—
Hedonismus	hedonism	لذت‌گرایی	Maskulin	der	die Hedonismen	Nom/Acc/Dat/Gen	—
Wahrheit	truth	حقیقت	Feminin	die	die Wahrheiten	Nom/Acc/Dat/Gen	—
Freiheit	freedom	آزادی	Feminin	die	die Freiheiten	Nom/Acc/Dat/Gen	—
