Question	Answer
Guten Morgen!	صبح بخیر! (Good morning!) - Used until ~10am
Guten Tag!	روز بخیر! (Good day!) - Formal daytime
Guten Abend!	عصر بخیر! (Good evening!) - Evening
Hallo!	سلام! (Hello!) - Informal anytime
Tschüss!	خداحافظ! (Bye!) - Informal
Auf Wiedersehen!	خداحافظ! (Goodbye!) - Formal
Bis bald!	تا به زودی! (See you soon!)
Danke!	ممنون! (Thank you!)
Danke schön!	خیلی ممنون! (Thank you very much!)
Bitte!	لطفاً!/خواهش می‌کنم! (Please!/You're welcome!)
Entschuldigung!	ببخشید! (Excuse me!/I'm sorry!)
Es tut mir leid.	متأسفم. (I'm sorry.)
Kein Problem.	مشکلی نیست. (No problem.)
Wie heißen Sie?	اسم شما چیست؟ (What is your name?)
Ich heiße...	اسم من ... است. (My name is...)
Woher kommen Sie?	از کجا آمده‌اید؟ (Where are you from?)
Ich komme aus...	من از ... آمده‌ام. (I come from...)
Was machen Sie beruflich?	شغل شما چیست؟ (What do you do for work?)
Ich bin...	من ... هستم. (I am...)
Ich lerne Deutsch.	من آلمانی یاد می‌گیرم. (I'm learning German.)
Wie viel kostet das?	آن چقدر است؟ (How much does that cost?)
Ich möchte...	من می‌خواهم... (I would like...)
Können Sie mir helfen?	می‌توانید کمکم کنید؟ (Can you help me?)
Ich verstehe nicht.	نمی‌فهمم. (I don't understand.)
Sprechen Sie bitte langsamer.	لطفاً آهسته‌تر صحبت کنید. (Please speak more slowly.)
Wie sagt man... auf Deutsch?	... به آلمانی چه می‌گویند؟ (How do you say... in German?)
Was bedeutet das?	آن به چه معناست؟ (What does that mean?)
Wo ist...?	کجاست...؟ (Where is...?)
Ich suche...	دنبال ... می‌گردم. (I'm looking for...)
Die Rechnung, bitte.	حساب لطفاً. (The check, please.)
Einen Tisch für zwei, bitte.	یک میز برای دو نفر لطفاً. (A table for two, please.)
Ich komme aus dem Iran.	من از ایران آمده‌ام. (I come from Iran.)
Ich wohne in Berlin.	من در برلین زندگی می‌کنم. (I live in Berlin.)
Ich bin 25 Jahre alt.	من ۲۵ ساله هستم. (I am 25 years old.)
Heute ist Montag.	امروز دوشنبه است. (Today is Monday.)
Es ist drei Uhr.	ساعت ۳ است. (It is 3 o'clock.)
Wie spät ist es?	ساعت چند است؟ (What time is it?)
Es geht mir gut, danke.	خوبم، ممنون. (I'm fine, thanks.)
Und Ihnen?	شما چطور؟ (And you? - formal)
Natürlich!	البته! (Of course!)
Genau!	دقیقاً! (Exactly!)
Echt?	واقعاً؟ (Really?)
Das ist toll!	عالیه! (That's great!)
Super!	عالی! (Super!)
